year,rep,r.experience,discipline,research.data,r.studio
2016,1,2,physiology,quantitative,No
2016,2,1,genetics,quantitative,Yes
2016,3,2,physiology,quantitative,Yes
2016,4,3,physiology,quantitative,Yes
2016,5,1,ecology,quantitative,No
2016,6,1,physiology,quantitative,No
2016,7,3,ecology,quantitative,Yes
2016,8,1,ecology,qualitative,No
2016,9,1,ecology,quantitative,Yes
2016,10,3,genetics,quantitative,No
2016,11,3,ecology,quantitative,Yes
2016,12,1,ecology,quantitative,No
2016,13,1,physiology,quantitative,No
2016,14,2,physiology,quantitative,Yes
2016,15,1,environmental science,quantitative,Yes
2016,16,1,physiology,quantitative,No
2016,17,1,physiology,quantitative,No
2016,18,2,physiology,quantitative,Yes
